cebuano_key,source_png
adlaw,cheerful_kawaii_sun_emoji.png
adto,boy_walking_toward_an_arrow.png
amahan,cheerful_chibi_man_in_casual_attire.png
anak,joyful_toddler_in_yellow_t_shirt.png
apohan,chibi_grandfather_with_cane_and_smile.png
ari,smiling_boy_waving_in_3d_style.png
asa_ka,explorer_boy_with_map_and_curiosity.png
asawa,cheerful_cartoon_woman_in_pastel_outfit.png
asin,cute_kawaii_salt_shaker_smile.png
asukal,kawaii_pastel_sugar_jar_with_spoon.png
baboy,cute_kawaii_pig_illustration.png
balay,cozy_pastel_house_with_cute_details.png
bana,cheerful_chibi_man_in_casual_attire.png
bata,joyful_toddler_in_yellow_t_shirt.png
bati,angry_child_with_thumbs_down.png
bugas,cute_rice_sack_illustration.png
bugnaw,shivering_penguin_in_winter_gear.png
bukid,cute_cartoon_mountain_landscape_icon.png
bulan,smiling_crescent_moon_character.png
dagat,whimsical_curling_ocean_wave_illustration.png
daghan,kawaii_pastel_star_cluster.png
dako,cute_happy_chibi_elephant_illustration.png
dalan,winding_road_through_grassy_paradise.png
duha,two_happy_kawaii_stars.png
dungog,curious_child_listening_with_joy.png
duwa,playful_fun_with_toys_and_smiles.png
gamay,adorable_chibi_mouse_illustration.png
gatas,cute_kawaii_milk_bottle_character.png
gigutom_ko,hungry_thoughts_and_tasty_dreams.png
gihigugma_tika,cute_couple_forming_a_heart_shape.png
gimingaw_ko_nimo,missing_someone_with_a_pink_heart.png
guol,sad_little_boy_with_tears.png
gutom,hungry_thoughts_and_a_worried_boy.png
hadlok,frightened_child_in_a_cute_pose.png
hinay,cute_green_turtle_in_pastel_chibi_style.png
igsoon,sweet_siblings_sharing_a_joyful_moment.png
inahan,cheerful_cartoon_woman_in_pastel_outfit.png
ingon,boy_speaking_with_cheerful_expression.png
init,overheated_sun_with_fan_and_towel.png
inom,cute_child_enjoying_a_drink.png
isda,cute_kawaii_blue_fish_illustration.png
itlog,cute_kawaii_egg_character_smile.png
kahibalo,thinking_child_s_bright_idea_sparks.png
kalayo,bright_and_playful_flame_icon.png
kan-on,kawaii_rice_bowl_with_a_smile.png
kaon,happy_child_enjoying_rice_meal.png
kape,cute_coffee_cup_with_kawaii_face.png
kapoy,tired_boy_in_a_yellow_t_shirt.png
kasabot,bright_idea_and_puzzle_solved.png
kumusta_ka,friendly_chat_between_happy_kids.png
kwarta,cute_money_stack_with_kawaii_faces.png
kwarto,cozy_pastel_bedroom_vignette.png
lakaw,happy_child_on_a_joyful_stroll.png
lamesa,wooden_table_illustration_on_transparent_backgroun.png
lima,kawaii_yellow_star_faces_arrangement.png
limpyo,young_boy_cleaning_with_joy.png
lingkuranan,stylized_wooden_chair_with_mint_cushion.png
lipay,joyful_child_jumping_with_excitement.png
luto,happy_toddler_cooking_stew_in_pot.png
maayo,happy_boy_with_thumbs_up_and_wink.png
maayong_buntag,happy_greeting_with_the_cheerful_sun.png
maayong_gabii,cheerful_boy_with_moon_and_stars.png
mangga,kawaii_mango_with_a_smiling_face.png
manok,cute_cartoon_chicken_with_rosy_cheeks.png
napulo,kawaii_star_sticker_pattern.png
oras,cheerful_cartoon_alarm_clock.png
palihug,cute_chibi_child_begging_adorably.png
palit,child_shopping_at_the_market_stand.png
pamilya,happy_family_portrait_in_pastel_colors.png
paspas,speedy_boy_on_the_move.png
pito,cute_kawaii_stars_grid.png
pultahan,cartoon_styled_wooden_door_illustration.png
saging,cute_bunch_of_kawaii_bananas.png
sakit,sick_child_in_cozy_pajamas.png
salamat,grateful_chibi_boy_with_hearts.png
siyam,kawaii_star_sticker_pattern.png
tagpila_ni,market_chat_with_the_friendly_vendor.png
tan-aw,boy_with_binoculars_in_curious_pose.png
tinapay,kawaii_smiling_loaf_of_bread.png
tiya,cheerful_cartoon_woman_in_pastel_outfit.png
tiyo,cheerful_chibi_man_in_casual_attire.png
trabaho,happy_workspace_in_pastel_tones.png
tubig,glossy_water_droplet_with_splash.png
tulo,cute_kawaii_star_trio.png
tulog,peaceful_sleep_in_starry_pajamas.png
tuon,cheerful_boy_studying_at_his_desk.png
uhaw,thirsty_and_tired_little_hero.png
unom,kawaii_star_cluster_illustration.png
unsa_ni,curious_boy_with_a_mystery_box.png
upat,smiling_kawaii_golden_stars.png
usa,cute_kawaii_yellow_star_character.png
uyab,sweet_couple_in_love_sticker.png
wala_ko_kasabot,confused_boy_asking_what.png
walo,smiling_kawaii_stars_pattern.png